"PMID","AuthorN","AuthorForename","AuthorLastname","AuthorInitials","AuthorAffiliation"
10643942,4,"H","Wolf","H",""
10643942,5,"H","Autrup","H",""
10645823,1,"L C","Harty","LC","Genetic Epidemiology Branch, National Cancer Institute, Bethesda, MD 20892-7236, USA."
10645823,2,"P G","Shields","PG",""
10645823,3,"D M","Winn","DM",""
10645823,4,"N E","Caporaso","NE",""
10645823,5,"R B","Hayes","RB",""
10648912,1,"L","Lucero","L","Grup de Mutagènesi, Departament de Genètica i de Microbiologia, Facultat de Ciències, Edifici Cn, Universitat Autònoma de Barcelona, 08193 Bellaterra, Spain."
10648912,2,"S","Pastor","S",""
10648912,3,"S","Suárez","S",""
10648912,4,"R","Durbán","R",""
10648912,5,"C","Gómez","C",""
10648912,6,"T","Parrón","T",""
10648912,7,"A","Creus","A",""
10648912,8,"R","Marcos","R",""
10648916,1,"F Y","Wu","FY","Institute of Environmental Health, China Medical College, No. 91, Hsueh-Shin RD, Taichung, Taiwan. fywu@mail.cmc.edu.tw"
10648916,2,"F J","Tsai","FJ",""
10648916,3,"H W","Kuo","HW",""
10648916,4,"C H","Tsai","CH",""
10648916,5,"W Y","Wu","WY",""
10648916,6,"R Y","Wang","RY",""
10648916,7,"J S","Lai","JS",""
10650914,1,"G","Brescia","G","Dipartimento di Medicina Interna e Medicina Pubblica, Facoltà di Medicina e Chirurgia, Università di Bari, Policlinico, Italy."
10650914,2,"L","Celotti","L",""
10650914,3,"E","Clonfero","E",""
10650914,4,"G H","Neumann","GH",""
10650914,5,"A","Forni","A",""
10650914,6,"V","Foà","V",""
10650914,7,"M","Pisoni","M",""
10650914,8,"G M","Ferri","GM",""
10650914,9,"G","Assennato","G",""
10657956,1,"M","Peluso","M","Servizio di Oncologia Sperimentale, Istituto Nazionale per la Ricerca sul Cancro (IST), Largo R.Benzi 10, Genova 16132, Italy."
10657956,2,"L","Airoldi","L",""
10657956,3,"C","Magagnotti","C",""
10657956,4,"L","Fiorini","L",""
10657956,5,"A","Munnia","A",""
10657956,6,"A","Hautefeuille","A",""
10657956,7,"C","Malaveille","C",""
10657956,8,"P","Vineis","P",""
10666194,1,"M","Stanulla","M","Department of Pediatric Hematology and Oncology, Children's Hospital, Hannover Medical School, Hannover, Germany."
10666194,2,"M","Schrappe","M",""
10666194,3,"A M","Brechlin","AM",""
10666194,4,"M","Zimmermann","M",""
10666194,5,"K","Welte","K",""
10667460,1,"H","Bartsch","H","Division of Toxicology and Cancer Risk Factors, Deutsches Krebsforschungszentrum, Heidelberg, Germany. h.bartsch@dkfz-heidelberg.de"
10667460,2,"U","Nair","U",""
10667460,3,"A","Risch","A",""
10667460,4,"M","Rojas","M",""
10667460,5,"H","Wikman","H",""
10667460,6,"K","Alexandrov","K",""
10667466,1,"V W","Setiawan","VW","Department of Epidemiology, University of California-Los Angeles School of Public Health, and Jonsson Comprehensive Cancer Center, 90095-1772, USA."
10667466,2,"Z F","Zhang","ZF",""
10667466,3,"G P","Yu","GP",""
10667466,4,"Y L","Li","YL",""
10667466,5,"M L","Lu","ML",""
10667466,6,"C J","Tsai","CJ",""
10667466,7,"D","Cordova","D",""
10667466,8,"M R","Wang","MR",""
10667466,9,"C H","Guo","CH",""
10667466,10,"S Z","Yu","SZ",""
10667466,11,"R C","Kurtz","RC",""
10673738,1,"M H","Woo","MH","Department of Pharmaceutical Sciences, St Jude Children's Research Hospital, USA."
10673738,2,"J J","Shuster","JJ",""
10673738,3,"C","Chen","C",""
10673738,4,"R O","Bash","RO",""
10673738,5,"F G","Behm","FG",""
10673738,6,"B","Camitta","B",""
10673738,7,"C A","Felix","CA",""
10673738,8,"B A","Kamen","BA",""
10673738,9,"C H","Pui","CH",""
10673738,10,"S C","Raimondi","SC",""
10673738,11,"N J","Winick","NJ",""
10673738,12,"M D","Amylon","MD",""
10673738,13,"M V","Relling","MV",""
10676631,1,"N","Jourenkova-Mironova","N","Unit of Cancer Epidemiology (Institut National de la Santé et de la Recherche Médicale U521), Institut Gustave-Roussy, Villejuif, France."
10676631,2,"K","Mitrunen","K",""
10676631,3,"C","Bouchardy","C",""
10676631,4,"P","Dayer","P",""
10676631,5,"S","Benhamou","S",""
10676631,6,"A","Hirvonen","A",""
10676639,1,"B F","Coles","BF","Division of Molecular Epidemiology, National Center for Toxicological Research, Jefferson, Arkansas 72079, USA. bcoles@nctr.fda.gov"
10676639,2,"K E","Anderson","KE",""
10676639,3,"D R","Doerge","DR",""
10676639,4,"M I","Churchwell","MI",""
10676639,5,"N P","Lang","NP",""
10676639,6,"F F","Kadlubar","FF",""
10677587,1,"V","Vasiliou","V","Department of Environmental Health and Center for Ecogenetics and Environmental Health, University of Cincinnati Medical Center, OH 45267-0056, USA."
10677587,2,"T","Buetler","T",""
10677587,3,"D L","Eaton","DL",""
10677587,4,"D W","Nebert","DW",""
10680782,1,"C L","Mann","CL","Department of Neurology, North Staffordshire Royal Infirmary, Stoke on Trent, England. mann@cwcom.com"
10680782,2,"M B","Davies","MB",""
10680782,3,"M D","Boggild","MD",""
10680782,4,"J","Alldersea","J",""
10680782,5,"A A","Fryer","AA",""
10680782,6,"P W","Jones","PW",""
10680782,7,"C","Ko Ko","C",""
10680782,8,"C","Young","C",""
10680782,9,"R C","Strange","RC",""
10680782,10,"C P","Hawkins","CP",""
10681096,1,"I","Onaran","I","Division of Biomedical Sciences, Cerrahpaşa Medical Faculty, Istanbul University, Turkey. ilonaran@istanbul.edu.tr"
10681096,2,"A","Ozaydin","A",""
10681096,3,"F","Akbaş","F",""
10681096,4,"M","Gültepe","M",""
10681096,5,"A","Tunçkale","A",""
10681096,6,"T","Ulutin","T",""
10682902,1,"J L","Schwartz","JL","Howard University, College of Dentistry, Department of Oral Maxillofacial Pathology, Washington, DC 20059, USA."
10698480,1,"A F","Olshan","AF","Department of Epidemiology, School of Public Health, University of North Carolina, Chapel Hill 27599, USA."
10698480,2,"M C","Weissler","MC",""
10698480,3,"M A","Watson","MA",""
10698480,4,"D A","Bell","DA",""
10698723,1,"R J","Srám","RJ","Laboratory of Genetic Ecotoxicology, Regional Institute of Hygiene of Central Bohemia and Institute of Experimental Medicine, Academy of Sciences of the Czech Republic, Prague, Czech Republic. sram@biomed.cas.cz"
10698723,2,"B","Binková","B",""
10708971,1,"K","Schlade-Bartusiak","K","Department of Genetics, Wroclaw Medical University, Marcinkowskiego 1, 50-368, Wroclaw, Poland."
10708971,2,"M","Sasiadek","M",""
10708971,3,"J","Kozlowska","J",""
10708975,1,"J M","Pluth","JM","Radiation Oncology Department, Stanford University, Cancer Biology Research Laboratory, GK109, Palo Alto, CA 94305, USA."
10708975,2,"M J","Ramsey","MJ",""
10708975,3,"J D","Tucker","JD",""
10712743,1,"D","Butkiewicz","D","Department of Tumor Biology, Centre of Oncology, M. Sklodowska-Curie Memorial Institute, Gliwice, Poland."
10712743,2,"E","Grzybowska","E",""
10712743,3,"D H","Phillips","DH",""
10712743,4,"K","Hemminki","K",""
10712743,5,"M","Chorazy","M",""
10720475,1,"A","Ahmadi","A","Division of Cell Biology, University Hospital, Linköping, S-581 85, Sweden."
10720475,2,"M","Fredrikson","M",""
10720475,3,"H","Jerregârd","H",""
10720475,4,"A","Akerbäck","A",""
10720475,5,"P A","Fall","PA",""
10720475,6,"A","Rannug","A",""
10720475,7,"O","Axelson","O",""
10720475,8,"P","Söderkvist","P",""
10728587,1,"C P","Wild","CP","Molecular Epidemiology Unit, School of Medicine, University of Leeds, UK. c.p.wild@leeds.ac.uk"
10728587,2,"F","Yin","F",""
10728587,3,"P C","Turner","PC",""
10728587,4,"I","Chemin","I",""
10728587,5,"B","Chapot","B",""
10728587,6,"M","Mendy","M",""
10728587,7,"H","Whittle","H",""
10728587,8,"G D","Kirk","GD",""
10728587,9,"A J","Hall","AJ",""
10729397,1,"R","Li","R","Department of Epidemiology, University of North Carolina at Chapel Hill, Suite 306, NationsBank Plaza, 137 E. Franklin Street, Chapel Hill, NC 27514, USA. ronglingvli@unc.edu"
10729397,2,"E","Boerwinkle","E",""
10729397,3,"A F","Olshan","AF",""
10729397,4,"L E","Chambless","LE",""
10729397,5,"J S","Pankow","JS",""
10729397,6,"H A","Tyroler","HA",""
10729397,7,"M","Bray","M",""
10729397,8,"G S","Pittman","GS",""
10729397,9,"D A","Bell","DA",""
10729397,10,"G","Heiss","G",""
10739168,1,"J","Smart","J","Department of Pharmacological Sciences, University of Newcastle upon Tyne, UK."
10739168,2,"A K","Daly","AK",""
10744127,1,"R S","Houlston","RS","Section of Cancer Genetics, Institute of Cancer Research, Sutton, Surrey, United Kingdom. r.houlston@icr.ac.uk"
10744635,1,"M H","Wilson","MH","Molecular Epidemiology Unit, School of Medicine, University of Leeds, LS2 9JT, UK."
10744635,2,"P J","Grant","PJ",""
10744635,3,"L J","Hardie","LJ",""
10744635,4,"C P","Wild","CP",""
10749130,1,"E L","Crawford","EL","Department of Medicine, Medical College of Ohio, Toledo 43699-0008, USA."
10749130,2,"S A","Khuder","SA",""
10749130,3,"S J","Durham","SJ",""
10749130,4,"M","Frampton","M",""
10749130,5,"M","Utell","M",""
10749130,6,"W G","Thilly","WG",""
10749130,7,"D A","Weaver","DA",""
10749130,8,"W J","Ferencak","WJ",""
10749130,9,"C A","Jennings","CA",""
10749130,10,"J R","Hammersley","JR",""
10749130,11,"D A","Olson","DA",""
10749130,12,"J C","Willey","JC",""
10753202,1,"A K","Alexandrie","AK","Institute of Environmental Medicine, Karolinska Institutet, Stockholm, Sweden."
10753202,2,"M","Warholm","M",""
10753202,3,"U","Carstensen","U",""
10753202,4,"A","Axmon","A",""
10753202,5,"L","Hagmar","L",""
10753202,6,"J O","Levin","JO",""
10753202,7,"C","Ostman","C",""
10753202,8,"A","Rannug","A",""
10755383,1,"A","Matsui","A","Keio Cancer Center, Tokyo, Japan. matsui@mc.med.keio.ac.jp"
10755383,2,"T","Ikeda","T",""
10755383,3,"K","Enomoto","K",""
10755383,4,"H","Nakashima","H",""
10755383,5,"K","Omae","K",""
10755383,6,"M","Watanabe","M",""
10755383,7,"T","Hibi","T",""
10755383,8,"M","Kitajima","M",""
10759887,1,"P","Mattsson","P","University Hospital, Uppsala, Sweden. Peter.Mattsson@neurologi.uu.se"
10759887,2,"C","Bjelfman","C",""
10759887,3,"P O","Lundberg","PO",""
10759887,4,"A","Rane","A",""
10762000,1,"L Y","Park","LY","Department of Pathology and Laboratory Medicine, Temple University School of Medicine, Philadelphia, Pennsylvania, USA."
10762000,2,"J E","Muscat","JE",""
10762000,3,"T","Kaur","T",""
10762000,4,"S P","Schantz","SP",""
10762000,5,"J C","Stern","JC",""
10762000,6,"J P","Richie","JP",""
10762000,7,"P","Lazarus","P",""
10767640,1,"T","Martone","T","Unit of Cancer Epidemiology, Dipartimento di Scienze Biomediche e Oncologia Umana, via Santena 7, 10126, Turin, Italy."
10767640,2,"P","Vineis","P",""
10767640,3,"C","Malaveille","C",""
10767640,4,"B","Terracini","B",""
10779639,1,"J E","Curran","JE","Genomics Research Centre, School of Health Science, Griffith University Gold Coast, Parklands Drive, Southport QLD 9726, Queensland, Australia."
10779639,2,"S R","Weinstein","SR",""
10779639,3,"L R","Griffiths","LR",""
10780264,1,"A M","Rossi","AM","Pisa University, Department of Human and Environmental Sciences, Genetics and Environmental Mutagenesis, Italy. a.m.rossi@geog.unipi.it"
10780264,2,"C","Guarnieri","C",""
10780264,3,"S","Rovesti","S",""
10780264,4,"F","Gobba","F",""
10780264,5,"S","Ghittori","S",""
10780264,6,"G","Vivoli","G",""
10780264,7,"R","Barale","R",""
10783912,1,"J","Salagovic","J","Department of Medical Biology, School of Medicine, Safárik University, Kosice, Slovak Republic."
10783912,2,"I","Kalina","I",""
10783912,3,"V","Habalová","V",""
10783912,4,"M","Hrivnák","M",""
10783912,5,"L","Valanský","L",""
10783912,6,"E","Biros","E",""
10793329,1,"M","Sato","M","Maxillofacial Surgery, Graduate School, Tokyo Medical and Dental University, 5-45, Yushima 1-chome, Bunkyo-ku, Tokyo, Japan. ta-sato.os1@dent.tmd.ac.jp"
10793329,2,"T","Sato","T",""
10793329,3,"T","Izumo","T",""
10793329,4,"T","Amagasa","T",""
10794492,1,"C","Sweeney","C","Department of Epidemiology, School of Public Health and Community Medicine, University of Washington, Seattle 98195, USA. sweeneycarol@exchange.uams.edu"
10794492,2,"D C","Farrow","DC",""
10794492,3,"S M","Schwartz","SM",""
10794492,4,"D L","Eaton","DL",""
10794492,5,"H","Checkoway","H",""
10794492,6,"T L","Vaughan","TL",""
10812837,1,"T","Nakajima","T","Department of Hygiene, Shinshu University School of Medicine, Matsumoto, Japan."
10812837,2,"T","Aoyama","T",""
10813720,1,"J W","Kim","JW","Department of Obstetrics and Gynecology, Kangnam St Mary's Hospital, Catholic University Medical College, Seoul, Korea."
10813720,2,"C G","Lee","CG",""
10813720,3,"Y G","Park","YG",""
10813720,4,"K S","Kim","KS",""
10813720,5,"I K","Kim","IK",""
10813720,6,"Y W","Sohn","YW",""
10813720,7,"H K","Min","HK",""
10813720,8,"J M","Lee","JM",""
10813720,9,"S E","Namkoong","SE",""
10815689,1,"C","Crump","C","Department of Epidemiology, University of Washington, Seattle 98195, USA. kccrump@u.washington.edu"
10815689,2,"C","Chen","C",""
10815689,3,"F R","Appelbaum","FR",""
10815689,4,"K J","Kopecky","KJ",""
10815689,5,"S M","Schwartz","SM",""
10815689,6,"C L","Willman","CL",""
10815689,7,"M L","Slovak","ML",""
10815689,8,"N S","Weiss","NS",""
10817498,1,"G","Liu","G","Centre for Research in Women's Health, Women's College Hospital, University of Toronto, Canada."
10817498,2,"P","Ghadirian","P",""
10817498,3,"D","Vesprini","D",""
10817498,4,"N","Hamel","N",""
10817498,5,"A J","Paradis","AJ",""
10817498,6,"G","Lal","G",""
10817498,7,"S","Gallinger","S",""
10817498,8,"S A","Narod","SA",""
10817498,9,"W D","Foulkes","WD",""
10820426,1,"L P","Grégio D'Arce","LP","Departamento de Biologia Geral, Centro de Ciências Biológicas, Universidade Estadual de Londrina, Brazil."
10820426,2,"I M","Cólus","IM",""
10821441,1,"A","Rahbar","A","Department of Neurology, St. Josef-Hospital, University of Bochum, Federal Republic of Germany."
10821441,2,"M","Kempkes","M",""
10821441,3,"T","Müller","T",""
10821441,4,"S","Reich","S",""
10821441,5,"F L","Welter","FL",""
10821441,6,"S","Meves","S",""
10821441,7,"H","Przuntek","H",""
10821441,8,"H M","Bolt","HM",""
10821441,9,"W","Kuhn","W",""
10828664,1,"I","Georgiou","I","Obstetrics and Gynecology, Medical School of Ioannina University, Greece."
10828664,2,"I F","Filiadis","IF",""
10828664,3,"Y","Alamanos","Y",""
10828664,4,"I","Bouba","I",""
10828664,5,"X","Giannakopoulos","X",""
10828664,6,"D","Lolis","D",""
10837004,1,"J W","Lampe","JW","Cancer Prevention Research Program, Division of Public Health Sciences, Fred Hutchinson Cancer Research Center, 1100 Fairview Avenue North, Seattle, WA 98109-1024, USA. jlampe@fhcrc.org"
10837004,2,"I B","King","IB",""
10837004,3,"S","Li","S",""
10837004,4,"M T","Grate","MT",""
10837004,5,"K V","Barale","KV",""
10837004,6,"C","Chen","C",""
10837004,7,"Z","Feng","Z",""
10837004,8,"J D","Potter","JD",""
10840162,1,"M J","Roth","MJ","The Cancer Prevention Studies Branch, Division of Clinical Sciences, National Cancer Institute NIH, Bethesda, MD 20892, USA. mr166i@nih.gov"
10840162,2,"S M","Dawsey","SM",""
10840162,3,"G","Wang","G",""
10840162,4,"J A","Tangrea","JA",""
10840162,5,"B","Zhou","B",""
10840162,6,"D","Ratnasinghe","D",""
10840162,7,"K G","Woodson","KG",""
10840162,8,"O A","Olivero","OA",""
10840162,9,"M C","Poirier","MC",""
10840162,10,"B L","Frye","BL",""
10840162,11,"P R","Taylor","PR",""
10840162,12,"A","Weston","A",""
10840461,1,"W J","Kim","WJ","Department of Urology and Preventive Medicine, College of Medicine, Chungbuk National University, Cheongju, Chungbuk, Korea."
10840461,2,"H L","Lee","HL",""
10840461,3,"S C","Lee","SC",""
10840461,4,"Y T","Kim","YT",""
10840461,5,"H","Kim","H",""
10845567,1,"E","Schnakenberg","E","Center for Human Genetics and Genetic Counselling, University of Bremen, Germany."
10845567,2,"M","Lustig","M",""
10845567,3,"R","Breuer","R",""
10845567,4,"R","Werdin","R",""
10845567,5,"R","Hübotter","R",""
10845567,6,"K","Dreikorn","K",""
10845567,7,"W","Schloot","W",""
10859543,1,"N A","Mungan","NA","Department of Urology, University Hospital, Nijmegen, The Netherlands."
10859543,2,"K K","Aben","KK",""
10859543,3,"E","Beeks","E",""
10859543,4,"E","Kampman","E",""
10859543,5,"A","Bunschoten","A",""
10859543,6,"M","Bussemakers","M",""
10859543,7,"J A","Witjes","JA",""
10859543,8,"L A","Kiemeney","LA",""
10862521,1,"S K","Park","SK","Department of Preventive Medicine, Seoul National University College of Medicine, Institute of Environmental Medicine, SNUMRC, Korea."
10862521,2,"K Y","Yoo","KY",""
10862521,3,"S J","Lee","SJ",""
10862521,4,"S U","Kim","SU",""
10862521,5,"S H","Ahn","SH",""
10862521,6,"D Y","Noh","DY",""
10862521,7,"K J","Choe","KJ",""
10862521,8,"P T","Strickland","PT",""
10862521,9,"A","Hirvonen","A",""
10862521,10,"D","Kang","D",""
10862522,1,"J M","Pluth","JM","Biology and Biotechnology Research Program, Lawrence Livermore National Laboratory, California 94551, USA."
10862522,2,"D O","Nelson","DO",""
10862522,3,"M J","Ramsey","MJ",""
10862522,4,"J D","Tucker","JD",""
10868687,1,"W","Tan","W","Department of Chemical Etiology and Carcinogenesis, Cancer Institute, Chinese Academy of Medical Sciences and Beijing Union Medical College."
10868687,2,"N","Song","N",""
10868687,3,"G Q","Wang","GQ",""
10868687,4,"Q","Liu","Q",""
10868687,5,"H J","Tang","HJ",""
10868687,6,"F F","Kadlubar","FF",""
10868687,7,"D X","Lin","DX",""
10868688,1,"M","Krajinovic","M","Service d'Hématologie-Oncologie, Centre de Cancérologie Charles-Bruneau, Centre de Recherche, Hôpital Sainte-Justine, Montreal, Quebec, Canada."
10868688,2,"C","Richer","C",""
10868688,3,"H","Sinnett","H",""
10868688,4,"D","Labuda","D",""
10868688,5,"D","Sinnett","D",""
10868689,1,"S M","Davies","SM","Department of Pediatrics, University of Minnesota, Minneapolis 55455, USA. davie008@tc.umn.edu"
10868689,2,"L L","Robison","LL",""
10868689,3,"J D","Buckley","JD",""
10868689,4,"G A","Radloff","GA",""
10868689,5,"J A","Ross","JA",""
10868689,6,"J P","Perentesis","JP",""
10868690,1,"R","Millikan","R","Department of Epidemiology, School of Public Health, University of North Carolina, Chapel Hill 27599-7400, USA."
10868690,2,"G","Pittman","G",""
10868690,3,"C K","Tse","CK",""
10868690,4,"D A","Savitz","DA",""
10868690,5,"B","Newman","B",""
10868690,6,"D","Bell","D",""
10868693,1,"T A","Lallas","TA","Department of Obstetrics and Gynecology, The University of Iowa Hospitals and Clinics, Iowa City 52242, USA."
10868693,2,"S K","McClain","SK",""
10868693,3,"M S","Shahin","MS",""
10868693,4,"R E","Buller","RE",""
10868696,1,"Q","Lan","Q","Center for Environmental Medicine and Lung Biology, University of North Carolina, Chapel Hill 27599-7315, USA. qingl@mail.nih.gov"
10868696,2,"X","He","X",""
10868696,3,"D J","Costa","DJ",""
10868696,4,"L","Tian","L",""
10868696,5,"N","Rothman","N",""
10868696,6,"G","Hu","G",""
10868696,7,"J L","Mumford","JL",""
10892871,1,"E","Juronen","E","Department of Human Biology and Genetics, Institute of General and Molecular Pathology, University of Tartu, Estonia. ejuronen@ut.ee"
10892871,2,"G","Tasa","G",""
10892871,3,"S","Veromann","S",""
10892871,4,"L","Parts","L",""
10892871,5,"A","Tiidla","A",""
10892871,6,"R","Pulges","R",""
10892871,7,"A","Panov","A",""
10892871,8,"L","Soovere","L",""
10892871,9,"K","Koka","K",""
10892871,10,"A V","Mikelsaar","AV",""
10899651,1,"Y W","Cheng","YW","Institute of Medicine & Toxicology, Chung Shan Medical & Dental College, Department of Thoracic Surgery, No. 110, Sec. 1, Chien-Kuo N. Rd., 40203, ROC, Taichung, Taiwan."
10899651,2,"C Y","Chen","CY",""
10899651,3,"P","Lin","P",""
10899651,4,"K H","Huang","KH",""
10899651,5,"T S","Lin","TS",""
10899651,6,"M H","Wu","MH",""
10899651,7,"H","Lee","H",""
10901185,1,"H","Fujita","H","Department of Geriatric Medicine, Akita University School of Medicine, Japan. fujitah@med.akita-u.ac.jp"
10901185,2,"T","Narita","T",""
10901185,3,"H","Meguro","H",""
10901185,4,"T","Shimotomai","T",""
10901185,5,"H","Kitazato","H",""
10901185,6,"E","Kagaya","E",""
10901185,7,"H","Sugasawa","H",""
10901185,8,"O","Hanyu","O",""
10901185,9,"K","Suzuki","K",""
10901185,10,"S","Ito","S",""
10919645,1,"H","Inoue","H","Department of Preventive Medicine, Graduate School of Medical Sciences, Kyushu University, Fukuoka, Japan."
